"CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"EU_Stocks_CPUE_1.csv","hom-west","Horse mackerel in Subarea VIII and Divisions IIa, IVa, Vb, VIa, and VIIa–c, e–k","NA","Trachurus trachurus",1985,2014,"Medium",0.32,0.73,1985,"Near unexploited","NA","NA","NA",,,296.25,248.36,353.38,0.48,0.38,0.59,2487.14,2177.46,2840.86,0.31,0.04,0.59,2.12,1.1,18.27
"EU_Stocks_CPUE_1.csv","Ille_coi_AD","Shortfin squid in Adriatic Sea","NA","Illex coindettii",1995,2013,"Medium",0.34,0.78,1995,"Very small","NA","NA","NA",,,1.1,0.95,1.26,0.62,0.52,0.75,7.02,6.09,8.09,0.38,0.04,0.59,1.75,1.13,16.53
"EU_Stocks_CPUE_1.csv","jaa-10","Blue jack mackerel (Trachurus picturatus) in Subdivision Xa2 (Azores)","NA","Trachurus picturatus",1980,2015,"Medium",0.32,0.73,1980,"About half","NA","NA","NA",,,2.61,2.15,3.17,0.5,0.41,0.62,20.69,17.85,23.98,0.3,0.04,0.59,2.2,1.11,17.95
"EU_Stocks_CPUE_1.csv","lem-nsea","Lemon sole in Subarea IV (North Sea) and Divisions IIIa (Skagerrak–Kattegat) and VIId (Eastern Channel)","NA","Microstomus kitt",1983,2014,"Medium",0.45,1.14,1983,"About half","NA","NA","NA",,,7.49,6.19,9.07,0.9,0.75,1.08,33.26,28.51,38.81,0.54,0.05,0.79,0.97,0.67,9.71
"EU_Stocks_CPUE_1.csv","lin-arct","Ling in Subareas I and II (Northeast Arctic)","NA","Molva molva",2000,2014,"Medium",0.34,0.77,2000,"Small","NA","NA","NA",,,10.13,8.73,11.76,0.51,0.42,0.62,79.57,65.21,97.1,1.39,1.02,1.69,0.5,0.41,0.68
"EU_Stocks_CPUE_1.csv","lin-faro","Ling in Division Vb (Faroes Grounds)","NA","Molva molva",1996,2014,"Medium",0.34,0.77,1996,"About half","NA","NA","NA",,,5.99,5.07,7.09,0.56,0.44,0.7,42.98,35.14,52.57,1.55,1.5,1.66,0.62,0.58,0.64
"EU_Stocks_CPUE_1.csv","lin-icel","Ling in Division 5.a (Iceland grounds)","NA","Molva molva",1982,2015,"Medium",0.34,0.77,1982,"Very small","NA","NA","NA",,,13.3,11.07,15.98,0.65,0.54,0.77,82.46,71.66,94.89,1.07,0.74,1.29,0.92,0.76,1.33
"EU_Stocks_CPUE_1.csv","lin-oth","Ling in Subareas VI-IX, XII, and XIV, and in Divisions IIIa and IVa (other areas)","NA","Molva molva",2000,2014,"Medium",0.34,0.77,2000,"Small","NA","NA","NA",,,24.27,20.98,28.08,0.56,0.46,0.7,172.32,139.17,213.36,1.58,1.11,1.7,0.35,0.33,0.5
"EU_Stocks_CPUE_1.csv","mac-nea","Mackerel (combined Southern, Western & N.Sea spawn.comp.)","NA","Scomber scombrus",1980,2014,"Medium",0.31,0.75,1980,"More than half","NA","NA","NA",,,732.07,651.03,823.2,0.38,0.31,0.47,7740.75,6381.22,9389.93,1.12,1.01,1.4,1.62,1.3,1.81
"EU_Stocks_CPUE_1.csv","Merl_mer_AD","Hake in Adriatic Sea","NA","Merluccius merluccius",1996,2013,"Medium",0.35,0.8,1996,"Small","NA","NA","NA",,,23.17,17.4,30.85,0.63,0.48,0.83,146.19,126.44,169.03,0.24,0.03,0.58,2.47,1.03,18.56
